stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, url, evevitda
024800,유성티엔에스,246100000000.0,16.145,31278618.0,3055,14005,358.4288052373159,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=024800,22.0
027050,코리아나,78500000000.0,0.30833333333333335,40000000.0,4035,67,-98.33952912019826,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=027050,35.54
036120,SCI평가정보,25500000000.0,23.308333333333334,35500000.0,3305,1846,-44.145234493192135,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036120,8.59
035290,골드앤에스,15900000000.0,-242.3416666666666,36223910.0,1305,-11728,-998.6973180076628,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035290,-8.39
027040,서울전자통신,110500000000.0,-1.4833333333333334,69588847.0,668,-260,-138.92215568862275,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=027040,40.62
027830,대성창투,51300000000.0,1.7383333333333333,40000000.0,2660,246,-90.75187969924812,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=027830,57.59
036000,예림당,128200000000.0,-14.736666666666665,23034277.0,1825,-9043,-595.5068493150685,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036000,-3.99
035760,CJ ENM,3437300000000.0,3.5366666666666666,21929154.0,131100,61120,-53.37909992372235,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035760,4.18
035810,이지홀딩스,452300000000.0,12.526666666666669,65145845.0,4060,9589,136.1822660098522,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035810,7.0
035460,기산텔레콤,32100000000.0,1.918333333333333,14577340.0,3450,466,-86.4927536231884,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035460,22.17
035620,바른손이앤에이,77100000000.0,12.835,74439675.0,1395,1466,5.089605734767025,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035620,-73.68
035610,솔본,138700000000.0,2.186666666666667,27345997.0,5100,1223,-76.01960784313727,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035610,7.31
020710,시공테크,112800000000.0,7.665,20047970.0,6160,4755,-22.808441558441558,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=020710,13.24
012790,신일제약,107500000000.0,7.101666666666667,11217186.0,10200,7504,-26.43137254901961,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=012790,9.2
034940,조아제약,58300000000.0,-1.55,30979827.0,3625,-322,-108.88275862068966,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=034940,89.63
033230,인성정보,44300000000.0,-8.578333333333335,39215380.0,2590,-1068,-141.23552123552122,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033230,28.0
035080,인터파크,298300000000.0,-6.36,77637923.0,5950,-2694,-145.27731092436974,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035080,7.02
005160,동국산업,384000000000.0,2.518333333333333,54244482.0,3440,1966,-42.848837209302324,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005160,2.59
005990,매일홀딩스,287000000000.0,4.623333333333333,13718304.0,9800,10664,8.816326530612246,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=005990,1.0
034810,해성산업,603400000000.0,0.0,26356298.0,12600,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=034810,17.62
025770,한국정보통신,206600000000.0,9.221666666666666,37444271.0,8820,5610,-36.394557823129254,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025770,6.9
033540,파라텍,63200000000.0,-6.641666666666667,50135131.0,2000,-923,-146.15,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033540,18.4
033500,동성화인텍,109800000000.0,14.513333333333334,29180408.0,11050,6021,-45.51131221719457,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033500,9.21
030350,드래곤플라이,7100000000.0,-84.16,41336352.0,2075,-1594,-176.81927710843374,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=030350,-36.27
033160,엠케이전자,352200000000.0,6.401666666666666,21807689.0,15700,11399,-27.394904458598724,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033160,5.15
033310,엠투엔,61500000000.0,-1.5,40342231.0,5910,-252,-104.26395939086295,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033310,-496.15
033320,제이씨현시스템,96000000000.0,7.961666666666666,19114432.0,6700,4409,-34.19402985074627,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=033320,7.98
009520,포스코엠텍,96400000000.0,11.756666666666666,41642703.0,7500,3001,-59.986666666666665,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=009520,18.72
