N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
69,포스코 ICT,"5,900",50,-0.84%,500,"206,036","5,950","5,980","5,850","5,890","5,900","1,212","231,695","68,677","14,756","152,035",2.51,"8,970","9,642","6,844","3,145",261,-0.58,90,-337,50,-45.77,-17.51,2.36,1.32,2.66,389.5
70,씨아이에스,"14,550",200,+1.39%,100,"623,359","14,350","14,650","14,200","14,550","14,600","9,000","669,844","96,579","140,332","61,437",3.77,"8,939","1,181","2,339","1,694",139,17.41,-44,15,0,-9.64,970.00,-7.73,-2.19,12.46,"1,021.7"
71,유바이오로직스,"24,500",800,-3.16%,500,"223,213","25,350","25,350","24,250","24,450","24,500","5,467","182,665","52,480","4,895","36,274",5.87,"8,887",285,"1,560",591,-60,-13.86,-601,-616,0,-160.78,-39.77,-91.23,-48.36,7.47,453.0
72,파마리서치,"87,100","1,100",-1.25%,500,"40,773","88,200","88,500","86,300","87,000","87,100","3,560","41,675","1,723","1,680","10,112",11.44,"8,807","1,087","3,198",554,334,29.66,325,"4,683",500,75.35,18.60,14.42,11.01,3.03,"5,026.4"
73,컴투스홀딩스,"133,400","6,800",-4.85%,500,"278,072","139,300","141,200","131,300","133,400","133,500","37,492","221,309","3,824",752,"6,595",3.98,"8,798","1,338","4,330","1,541",237,11.65,201,"4,300",N/A,238.92,31.02,7.68,4.84,2.50,"8,299.4"
74,에코프로에이치엔,"56,700","1,700",-2.91%,500,"172,591","58,200","58,200","56,200","56,700","56,800","9,831","257,577","18,538","6,071","15,305",9.29,"8,678",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.60,N/A
75,NHN한국사이버결제,"24,050",450,-1.84%,500,"66,834","24,300","24,300","23,750","24,050","24,100","1,601","77,717","12,699","4,318","36,016",33.82,"8,662","6,248","3,747","2,206",398,32.97,299,839,20,23.93,28.67,21.35,8.71,5.25,"1,436.9"
76,위메이드맥스,"26,000","1,100",-4.06%,500,"375,790","26,800","26,800","25,500","26,000","26,050","9,750","341,743","22,261","18,017","33,295",0.22,"8,657",379,421,138,-52,24.38,-100,-499,0,52.75,-52.10,-65.69,-28.88,17.69,360.6
77,비덴트,"17,050",500,-2.85%,500,"2,665,521","17,150","17,250","16,500","17,050","17,100","44,920","4,847,160","120,057","154,480","50,683",7.71,"8,641",107,"4,038",696,-65,-42.64,212,"4,083",0,-254.73,4.18,7.25,5.79,1.40,"1,358.0"
78,이녹스첨단소재,"42,800","1,200",-2.73%,500,"249,337","43,750","43,750","42,450","42,800","42,850","10,687","385,808","23,195","3,664","19,782",21.25,"8,467","3,363","3,186","1,161",438,-3.74,252,"3,086",7,-5.71,13.87,13.17,7.69,2.94,"4,438.3"
79,아이티엠반도체,"36,100",100,-0.28%,500,"30,229","35,950","36,200","35,400","36,050","36,100","1,081","41,159","3,307","2,392","23,123",2.02,"8,347","5,125","6,068","3,487",54,31.06,63,270,200,-78.84,133.70,2.38,1.20,3.12,"2,385.1"
80,삼천당제약,"36,250","1,200",-3.20%,500,"122,208","37,100","37,200","35,950","36,250","36,300","4,449","79,703","16,381","2,564","22,768",6.10,"8,253","1,669","3,171",594,55,-10.58,75,-249,N/A,-78.09,-145.58,-0.56,2.47,4.50,"1,555.8"
81,웹젠,"23,350",750,-3.11%,500,"245,034","23,750","23,850","23,150","23,350","23,400","5,730","242,698","26,649","10,125","35,311",25.11,"8,245","2,941","5,427","1,080","1,083",67.05,863,"2,683",N/A,109.06,8.70,21.83,18.03,1.44,"2,677.2"
82,파크시스템스,"118,000","3,400",-2.80%,500,"13,445","119,700","120,900","117,600","118,000","118,100","1,592","12,390","2,358",234,"6,901",23.13,"8,143",712,"1,044",513,150,37.04,100,804,180,86.43,146.77,20.43,12.07,13.69,"1,500.1"
83,넥슨지티,"22,600","1,300",-5.44%,500,"17,237,314","24,450","25,100","22,550","22,600","22,650","409,893","14,604,923","234,211","44,359","35,373",1.21,"7,994",278,"1,466",350,31,-7.87,40,610,N/A,110.86,37.05,3.61,2.71,5.82,587.9
84,아난티,"9,370",20,-0.21%,100,"445,429","9,400","9,400","9,270","9,360","9,370","4,160","523,203","49,934","55,556","85,231",6.32,"7,986","1,141","11,437","7,770",-317,-20.07,-448,-167,0,-773.49,-56.11,-10.96,-4.50,2.32,"2,976.6"
85,서울반도체,"13,500",150,-1.10%,500,"300,434","13,650","13,650","13,400","13,500","13,550","4,056","349,888","129,695","77,201","58,305",5.61,"7,871","11,531","13,302","5,394",597,2.05,290,858,157,20.42,15.73,2.64,2.19,1.03,"2,406.4"
86,RFHIC,"29,300",450,+1.56%,500,"137,244","29,050","29,350","28,500","29,250","29,300","3,985","93,022","9,771","11,801","26,706",6.69,"7,825",705,"3,123",952,-30,-34.63,16,342,98,-116.71,85.67,1.02,0.55,2.74,"1,590.3"
87,메디톡스,"124,300","1,800",-1.43%,500,"21,408","125,600","126,000","124,000","124,300","124,500","2,669","24,531","1,253",936,"6,261",8.68,"7,782","1,408","4,678","2,230",-371,-31.60,-300,"13,110",936,-244.30,9.48,-11.82,-6.76,1.98,"10,359.9"
88,SNK,"36,900",50,+0.14%,0,"5,463","37,000","37,000","36,850","36,900","36,950",202,"3,890","13,694","4,952","21,062",96.52,"7,772",700,"2,675",272,-76,-18.58,-111,-200,N/A,-132.55,-184.50,-3.99,-3.56,3.24,130.2
89,헬릭스미스,"20,300",150,-0.73%,500,"81,164","20,200","20,450","20,050","20,250","20,300","1,642","97,762","15,034","11,070","37,689",7.97,"7,651",43,"4,781","1,978",-711,-3.37,-856,"-1,308",0,-70.37,-15.52,-35.12,-20.15,3.10,"1,477.4"
90,인텔리안테크,"82,900","1,700",-2.01%,500,"69,170","83,900","83,900","82,000","82,800","82,900","5,718","149,594","10,396","5,797","9,184",5.52,"7,613","1,101","1,528",761,32,-6.67,6,328,95,-54.50,252.74,0.74,0.40,4.68,"2,062.5"
91,메드팩토,"36,300","1,000",-2.68%,500,"119,979","37,300","37,300","35,750","36,300","36,350","4,353","218,273","8,001","2,757","20,875",5.65,"7,578",N/A,585,28,-278,N/A,-254,-850,0,-109.99,-42.71,-37.72,-36.43,15.04,448.0
