N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
53,한화솔루션,"35,650",0,0.00%,"5,000","456,543","35,700","35,950","35,250","35,850","35,900","16,289","1,176,844","30,003","42,244","191,278",18.49,"68,382","91,950","151,373","91,696","5,942",-2.77,"3,017","3,913",0,29.41,9.14,5.30,1.96,0.83,636.7
54,SK바이오팜,"85,400","1,200",-1.39%,500,"53,205","86,600","86,800","85,300","85,600","85,700","4,564","90,849","8,821","4,447","78,313",5.85,"67,036",260,"5,002","1,212","-2,395",-79.01,"-2,474",-516,N/A,-202.17,-165.89,-135.18,-77.40,16.90,862.9
55,현대글로비스,"178,000",500,+0.28%,500,"68,264","177,000","181,500","175,000","177,500","178,000","12,162","103,212","10,620","18,344","37,500",43.15,"66,750","165,199","108,987","58,323","6,622",-9.58,-706,"4,413",0,97.86,4.24,-0.79,-0.20,0.51,546.4
56,LG디스플레이,"18,650",400,-2.10%,"5,000","1,241,020","18,900","18,950","18,550","18,700","18,750","23,194","1,653,784","683,608","251,998","357,816",17.32,"66,733","242,301","350,715","223,346",-291,3.21,"6,061","18,548","3,500",-24.46,9.60,12.45,5.77,1.20,"27,309.0"
57,한국조선해양,"93,700","2,200",+2.40%,"5,000","228,576","92,000","94,700","92,000","93,200","93,300","21,384","240,570","5,030","18,469","70,773",19.92,"66,314","149,037","252,442","128,230",744,-1.84,"-8,352","-18,227",0,-74.37,-5.14,-7.42,-3.32,0.64,"5,035.7"
58,F&F,"845,000","19,000",-2.20%,500,"10,147","864,000","868,000","839,000","846,000","847,000","8,594","15,220","1,507",333,"7,661",14.55,"64,739",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.30,N/A
59,한온시스템,"11,600",300,-2.52%,100,"429,123","11,950","12,050","11,550","11,600","11,650","5,044","988,000","106,337","49,978","533,800",17.56,"61,921","68,728","78,074","55,680","3,158",-3.93,"1,135",548,320,-34.73,21.26,5.09,1.52,2.71,"4,208.4"
60,LG유플러스,"13,300",100,+0.76%,"5,000","545,838","13,200","13,300","13,100","13,250","13,300","7,205","625,312","306,150","302,770","436,611",36.00,"57,851","134,176","183,502","106,990","8,862",8.36,"4,781",899,450,29.13,14.74,6.46,2.64,0.75,186.7
61,강원랜드,"26,650",100,-0.37%,500,"417,387","26,700","26,800","26,400","26,600","26,650","11,090","896,797","76,438","118,199","213,940",18.23,"57,015","4,786","36,416","3,946","-4,316",-68.52,"-2,759",-154,0,-186.12,-173.05,-7.92,-6.83,1.66,"3,098.2"
62,에스디바이오센서,"55,100",100,-0.18%,500,"638,798","55,300","56,900","54,800","55,100","55,200","35,638","545,224","43,260","30,576","103,271",10.85,"56,903","16,862","14,617","7,041","7,383","2,187.00","6,216","6,597",535,"82,345.59",8.35,139.97,76.50,2.66,"1,504.8"
63,CJ제일제당,"370,000","1,000",-0.27%,"5,000","11,445","371,000","371,000","366,000","367,000","368,000","4,214","38,093","4,122","1,104","15,054",22.52,"55,625","242,457","256,119","154,455","13,596",8.47,"7,864","29,324","4,000",51.59,12.60,13.50,3.03,0.98,"6,940.2"
64,맥쿼리인프라,"13,650",100,-0.73%,0,"576,826","13,700","13,750","13,650","13,650","13,700","7,893","948,778","462,919","1,179,579","404,846",14.08,"55,261",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,현대제철,"40,750",550,-1.33%,"5,000","278,772","41,350","41,600","40,700","40,750","40,800","11,478","572,298","18,083","7,538","133,446",21.21,"54,379","180,234","348,450","181,520",730,-12.14,"-4,401","6,532",500,-77.96,6.24,-2.59,-1.27,0.31,"2,224.0"
66,미래에셋증권,"8,800",120,-1.35%,"5,000","437,705","8,900","8,900","8,750","8,780","8,790","3,849","812,547","89,287","36,226","615,316",13.69,"54,148","168,358","1,309,469","1,216,007","11,171",9.10,"8,343","1,462",200,53.46,6.01,8.94,0.62,0.53,136.8
67,KODEX 200,"36,525",625,-1.68%,0,"2,983,834","37,010","37,040","36,415","36,525","36,530","109,167","4,082,459","32,812","23,667","145,450",11.14,"53,126",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68,삼성중공업,"6,020",30,+0.50%,"1,000","3,217,694","5,970","6,070","5,960","6,020","6,030","19,329","5,911,795","352,729","753,478","880,000",14.60,"52,976","68,603","129,222","92,039","-10,541",-6.66,"-14,927","-2,454",0,-70.97,-2.45,-33.06,-11.26,1.30,57.7
69,코웨이,"70,000","1,100",-1.55%,500,"53,892","71,300","71,300","70,000","70,000","70,100","3,797","123,681","8,647","6,161","73,800",60.95,"51,660","32,374","30,290","15,390","6,064",7.24,"4,047","6,039","1,200",32.33,11.61,31.51,13.76,2.81,"3,720.8"
70,SKC,"136,000","4,500",-3.20%,"5,000","75,140","140,000","140,000","136,000","136,000","136,500","10,314","143,126","30,513","13,160","37,868",16.51,"51,501","27,022","54,064","34,913","1,908",14.45,736,"4,909","1,000",36.52,27.70,2.21,1.57,2.39,898.5
