N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
51,피엔티,"48,450","1,850",+3.97%,500,"370,151","48,050","49,300","47,150","48,400","48,450","17,851","246,032","6,571","29,687","22,741",6.38,"11,018","3,900","4,354","3,105",553,21.36,344,"2,389",100,"3,642.13",20.28,33.56,7.36,6.18,"1,128.7"
52,SFA반도체,"6,660",330,+5.21%,500,"1,074,197","6,540","6,670","6,510","6,640","6,660","7,103","594,912","34,990","173,404","164,460",4.85,"10,953","5,731","5,865","2,317",343,-2.69,176,250,N/A,-12.27,26.64,5.22,2.82,2.83,313.1
53,디어유,"49,000","3,500",+7.69%,500,"256,687","46,800","49,550","46,800","48,950","49,000","12,412","115,378","3,605","7,812","21,977",0.91,"10,769",130,137,159,-5,675.10,-22,N/A,0,94.42,N/A,174.08,-18.21,N/A,-129.3
54,메가스터디교육,"90,100","5,500",+6.50%,100,"118,181","85,100","90,900","85,100","90,000","90,100","10,549","65,179","1,185","8,017","11,862",32.01,"10,688","4,747","5,540","2,771",328,8.55,210,"5,927",750,-44.97,15.20,8.38,4.26,3.22,"22,288.6"
55,네이처셀,"16,400",0,0.00%,500,"688,663","16,650","17,400","16,100","16,400","16,450","11,360","355,152","38,208","28,802","62,627",5.91,"10,271",167,857,231,-64,-27.53,-189,-623,0,-464.13,-26.32,-26.10,-21.10,15.88,90.7
56,콜마비앤에이치,"34,750","1,100",+3.27%,500,"123,813","34,050","35,500","34,050","34,750","34,800","4,312","103,067","4,909","3,455","29,544",2.32,"10,266","6,069","5,080","1,804","1,092",38.27,801,"2,305",320,47.36,15.08,27.88,17.91,2.79,"2,100.0"
57,덕산네오룩스,"41,150","1,150",+2.88%,200,"191,389","40,900","41,700","40,550","41,050","41,150","7,845","203,884","2,813","12,090","24,831",9.46,"10,218","1,442","2,209",282,401,47.30,333,"1,921",0,93.21,21.42,18.91,16.58,4.30,"3,917.0"
58,하나머티리얼즈,"51,700","1,500",+2.99%,500,"92,444","51,300","52,400","51,000","51,400","51,700","4,767","86,262","4,328","7,561","19,753",25.68,"10,212","2,007","3,525","1,645",531,29.62,380,"2,954",300,29.85,17.50,22.82,11.75,4.34,"1,743.5"
59,유진테크,"44,500","1,100",+2.53%,500,"127,803","44,500","45,000","44,150","44,300","44,500","5,682","126,870","8,479","8,184","22,916",22.81,"10,198","2,026","2,940",450,223,-1.40,99,"2,162",230,-6.41,20.58,1.48,3.45,3.51,"2,011.1"
60,차바이오텍,"18,050",600,+3.44%,500,"472,573","17,700","18,400","17,700","18,000","18,050","8,536","206,552","21,973","52,971","56,261",7.39,"10,155","6,647","13,137","6,768",-24,24.34,-342,-500,0,-141.92,-36.10,-5.10,-2.76,2.30,"1,414.2"
61,HLB생명과학,"10,450",400,+3.98%,500,"674,326","10,350","10,850","10,250","10,450","10,500","7,094","526,261","57,782","125,112","95,498",6.83,"9,980",918,"3,272",395,-81,-19.49,-558,-302,0,-80.09,-34.60,-17.97,-15.25,3.26,974.4
62,컴투스홀딩스,"149,100","15,500",+11.60%,500,"670,581","140,000","153,000","138,600","149,000","149,100","98,182","154,624","4,160","4,728","6,595",3.46,"9,833","1,338","4,330","1,541",237,11.65,201,"4,300",N/A,238.92,34.67,7.68,4.84,2.80,"8,299.4"
63,자이언트스텝,"44,650","1,100",+2.53%,500,"185,598","44,750","46,350","44,650","44,650","44,700","8,428","128,026","6,730","2,083","21,834",3.34,"9,749",202,227,78,-15,-4.60,-14,-97,0,43.28,-460.31,-13.13,-7.21,29.20,261.0
64,하림지주,"10,400",430,+4.31%,100,"397,937","10,100","10,550","10,050","10,350","10,400","4,100","191,109","49,768","96,649","92,342",5.34,"9,604","77,233","93,637","59,090","3,540",5.08,"1,736","2,593",50,15.51,4.01,3.18,1.93,0.39,"20,987.5"
65,다원시스,"30,200","1,250",+4.32%,500,"725,987","29,200","30,250","29,200","30,150","30,200","21,780","269,850","26,788","46,833","31,631",6.28,"9,552","2,479","6,115","3,890",164,41.62,147,376,96,98.80,80.32,6.86,2.57,3.23,"1,497.6"
